Energy (eV)	Intensity Smooth (a.u.)	Normalized Intensity
46	12544.935082	9432.282016
48	12559.650058	9736.162836
50	11755.580297	9404.464238
52	9750.105745	7991.889955
54	7189.851891	6041.892345
56	4905.402842	4228.795553
58	3244.094717	2870.880281
60	2149.597217	1936.574069
62	1440.998824	1309.998931
64	1025.650285	935.812304
66	895.482791	823.811215
68	1022.557601	943.318820
70	1255.972382	1183.762848
72	1395.364374	1330.185295
74	1325.862561	1284.750544
76	1111.126578	1094.705988
78	915.426788	919.103200
80	839.698466	854.220210
82	882.050903	903.740679
84	1015.294804	1056.498235
86	1235.554145	1296.489134
88	1486.387198	1574.562710
90	1669.443810	1779.790843
92	1741.174308	1872.230438
94	1724.592835	1872.522079
96	1622.649858	1781.174377
98	1442.193048	1597.113010
100	1270.554564	1421.201973
102	1282.035733	1450.266666
104	1566.287860	1798.263904
106	2082.875594	2427.593932
108	2733.116342	3242.130892
110	3435.937921	4144.677829
112	4051.293886	4989.278185
114	4409.067760	5518.232491
116	4404.478568	5589.439807
118	4063.727044	5243.518767
120	3513.462441	4592.761361
122	2878.035139	3822.091819
124	2257.715260	3059.234770
126	1691.226301	2316.748357
128	1215.468043	1697.581065
130	898.354053	1279.706628
132	831.651454	1214.089713
134	1047.963055	1554.841328
136	1449.933454	2193.545316
138	1888.097156	2913.730180
140	2247.454753	3522.656352
142	2441.746703	3900.553839
144	2357.058905	3814.011174
146	1951.474591	3183.482204
148	1390.615368	2298.537798
150	923.214405	1541.259441
152	727.033551	1230.175213
154	787.021384	1343.039905
156	1013.267604	1750.030405
158	1297.829888	2276.894540
160	1536.658162	2739.141109
162	1634.739751	2945.477029
164	1533.011252	2818.035389
166	1258.678450	2374.865001
168	928.770506	1772.462797
170	670.688748	1304.841923
172	521.068168	1033.865414
174	442.348300	900.913034
176	384.186986	798.725543
178	338.484230	717.127606
