Energy (eV)	Intensity Smooth (a.u)
100	3623.981598
102	3363.908273
104	2891.976392
106	2289.180623
108	1651.606280
110	1092.179459
112	695.218028
114	484.236134
116	441.992278
118	533.192972
120	724.303245
122	988.945425
124	1306.349083
126	1653.318880
128	1974.777720
130	2205.181665
132	2287.430647
134	2212.146545
136	2013.967812
138	1739.458738
140	1430.879097
142	1125.390102
144	862.318150
146	675.434068
148	580.354379
150	586.559903
152	684.623795
154	831.754966
156	985.445099
158	1126.067410
160	1243.377129
162	1314.405189
164	1313.568833
166	1267.396039
168	1220.406515
170	1177.930020
172	1098.757263
174	972.043929
176	831.965941
178	718.681159
180	626.833450
182	546.564920
184	478.681957
186	425.771982
188	389.845549
190	369.503672
192	356.852914
194	339.689535
196	318.929252
198	304.282714
